ID;GDPpc
ITG2_1950;3753,54
ITH1_1950;6255,9
ITH2_1950;6255,9
ITH3_1950;5838,84
ITH4_1950;6613,38
ITH5_1950;6672,96
ITI1_1950;6255,9
ITI2_1950;5362,2
ITI3_1950;5123,88
ITI4_1950;6375,06
FR10_1850;4929,496219
FRB0_1850;3609,464563
FRC1_1850;3373,381183
FRC2_1850;2691,296143
FRD1_1850;3120,831068
FRD2_1850;3925,484073
FRE1_1850;3287,965143
FRE2_1850;3843,66431
FRF1_1850;2807,646544
FRF2_1850;3782,624387
FRF3_1850;2970,421375
FRG0_1850;3232,633849
FRH0_1850;2070,423911
FRI1_1850;2913,055594
FRI2_1850;2209,854821
FRI3_1850;3355,922172
FRJ1_1850;3076,788246
FRJ2_1850;2713,300402
FRK1_1850;2565,948983
FRK2_1850;2745,172775
FRL0_1850;2847,897673
FRM0_1850;2600,306126
SE11_1850;3258,5
SE12_1850;1559,506667
SE21_1850;1450,4
SE22_1850;1577,8
SE23_1850;1749,3
SE31_1850;1928,870588
SE32_1850;1843,625
SE33_1850;1937,95
SE11_1900;4614,8
SE12_1900;3082,821212
SE21_1900;2618,65
SE22_1900;3154
SE23_1900;2896,7
SE31_1900;3851,2
SE32_1900;3934,2
SE33_1900;3834,6
SE11_1950;13212,66
SE12_1950;10123,73227
SE21_1950;9491,248317
SE22_1950;9846,833333
SE23_1950;10795,71
SE31_1950;10118,964
SE32_1950;9238,12
SE33_1950;9560,38
SE11_1550;1616,76
SE12_1550;1546,9
SE21_1550;1336,0725
SE22_1550;1631,73
SE23_1550;1452,09
SE31_1550;1427,14
SE32_1550;1242,51
SE33_1550;1556,88
SE11_1750;2657,34
SE12_1750;1440,558
SE21_1750;1200,465
SE22_1750;1227,66
SE23_1750;1515,15
SE31_1750;1832,524615
SE32_1750;1328,67
SE33_1750;1546,23
SE11_1800;2404,16
SE12_1800;1390,944348
SE21_1800;1127,437857
SE22_1800;1215,74
SE23_1800;1314,775
SE31_1800;1356,893333
SE32_1800;1468,45
SE33_1800;1379,66
