ID;GDPpc
RUS.74_1;9190,96
RUS.75_1;5876,66
RUS.76_1;5783,65
RUS.77_1;6405,9
RUS.78_1;14665,45
RUS.79_1;5589,77
RUS.8_1;4778,88
RUS.81_1;8186,19
SE11;46332,55891
SE12;27879,19018
SE21;28808,49652
SE22;29870,5609
SE23;31198,14139
SE31;27348,15798
SE32;29074,01261
SE33;27613,67408
SI03;16727,51411
SI04;23630,93263
SK01;28277,46432
SK02;11549,95022
SK03;10222,36973
SK04;9425,82144
TR10;20311,98141
TR21;14868,90143
UKC1;24486,78014
UKC2;25845,0922
UKD1;29215,78723
UKD3;29977,63121
UKD4;28344,31206
UKD6;37512,4539
UKD7;24929,02128
UKE1;27242,42553
UKE2;31324,79433
UKE3;24191,33333
UKE4;30269,3617
UKF1;28316,43972
UKF2;31560,78014
UKF3;26060,6383
UKG1;32354,21277
UKG2;27329,75887
UKG3;29832,69504
UKH1;31501,31915
UKH2;37880,36879
UKH3;29247,37589
UKI3;158350,1986
UKI4;50307,71631
UKI5;28565,43262
UKI6;35448,04255
UKI7;45246,09929
UKJ1;48473,71631
UKJ2;38140,51064
UKJ3;34740,08511
UKJ4;29734,21277
UKK1;35496,35461
UKK2;29775,0922
UKK3;22890,62411
UKK4;26501,02128
UKL1;22444,66667
UKL2;30824,95035
UKM5;39335,30496
UKM6;27985,68794
UKM7;31960,28369
UKM8;30027,80142
UKM9;25222,60993
UKN0;28182,65248
UKR.1_1;1215,5136
UKR.10_1;1139,544
UKR.11_1;5795,0144
UKR.12_1;1666
UKR.13_1;1283,4864
UKR.14_1;1351,4592
UKR.15_1;1496,7344
UKR.16_1;1610,0224
UKR.17_1;1760,6288
UKR.18_1;2215,1136
UKR.19_1;1206,184
UKR.2_1;1292,816
UKR.20_1;1464,7472
UKR.21_1;1254,1648
UKR.22_1;880,9808
UKR.23_1;1062,2416
UKR.24_1;1176,8624
UKR.25_1;1195,5216
UKR.26_1;2027,1888
UKR.27_1;1100,8928
UKR.3_1;899,64
UKR.4_1;1239,504
UKR.5_1;2156,4704
UKR.6_1;2433,6928
UKR.7_1;1312,808
UKR.8_1;1799,28
UKR.9_1;1138,2112
US10180;31578,75
US10420;40796,7
US10500;33455,1
US10540;30730,35
US10580;50506,05
US10740;44021,25
US10780;31738,35
US10900;44287,95
US11020;34310,85
US11100;36687
US11180;41771,1
US11260;59964,45
US11460;60312
US11500;32635,05
US11540;46646,25
US11700;34329,75
US12020;37619,4
US12060;60223,8
US12100;48417,6
US12220;25967,55
US12260;37236,15
US12420;49516,95
US12540;33845,7
US12580;51130,8
US12620;36867,6
US12700;43588,65
US12940;47208
US12980;37126,95
US13020;29064
US13140;40495,35
US13220;30749,25
US13380;38004,75
US13460;44857,05
US13740;41639,85
US13780;31228,05
US13820;47458,95
US13900;41255,55
US13980;31711,05
US14010;53905,95
US14020;36829,8
US14100;34674,15
US14260;41783,7
US14460;66918,6
US14500;61366,2
US14540;33556,95
US14740;36465,45
US14860;89479,95
US15180;20981,1
US15260;33691,35
US15380;38692,5
US15500;35007
US15540;45641,4
US15680;46265,1
US15940;36008,7
US15980;37912,35
US16020;34636,35
US16060;31530,45
US16180;53992,05
US16220;53202,45
US16300;47950,35
US16540;28742,7
US16580;39932,55
US16620;53622,45
US16700;40498,5
US16740;56200,2
US16820;42079,8
US16860;41659,8
US16940;43629,6
