;level3_main_occ;n;new
342;restaurateur;16;
343;supercentenári;16;
344;guerrilla;15;
345;killed;15;
346;martyr;15;
347;matador;15;
348;mayor;15;
349;nobile;15;
350;outlaw;15;
351;racewalker;15;
352;torero;15;
353;video_game;15;
354;witchcraft;15;
355;audio;14;
356;aviateur;14;
357;benedictine;14;
358;bible;14;
359;cook;14;
360;discus_thrower;14;
361;fashion_model;14;
362;husband;14;
363;independence;14;
364;khan;14;
365;marquess;14;
366;mountain_guide;14;
367;patriot;14;
368;percussionist;14;
369;photojournalist;14;
370;bibliographer;13;
371;blogger;13;
372;ecumenical;13;
373;electress;13;
374;grand_maître;13;
375;karate;13;
376;keyboardist;13;
377;magnate;13;
378;man_of_letters;13;
379;marxist;13;
380;piano;13;
381;rebel;13;
382;representative;13;
383;trader;13;
384;tug_of_war;13;
385;balloonist;12;
386;ceo;12;
387;dance;12;
388;imam;12;
389;organbuilder;12;
390;social_reformer;12;
391;vicar;12;
392;warrior;12;
393;_comte;11;
394;abolitionist;11;
395;art_dealer;11;
396;bookseller;11;
397;creative;11;
398;cryptographer;11;
399;gardener;11;
400;harpsichordist;11;
401;house_of_ascania;11;
402;jesus;11;
403;landgravine;11;
404;mechanic;11;
405;nobility;11;
406;occultist;11;
407;principessa;11;
408;sailing;11;
409;sniper;11;
410;stockbroker;11;
411;suffragette;11;
412;veteran;11;
413;victim;11;
414;abbot;10;
415;advisor;10;
416;champion;10;
417;fascist;10;
418;force;10;
419;gouverneur;10;
420;humanitarian;10;
421;magazine;10;
422;magic;10;
423;numismatist;10;
424;prinzessin;10;
425;trampolinist;10;
426;troubadour;10;
427;advocate;9;
428;animation;9;
429;aristocrate;9;
430;aviation;9;
431;capuchin;9;
432;celebrity;9;
433;dissident;9;
434;ecclesiastic;9;
435;environmentalist;9;
436;filmmaker;9;
437;first_lady;9;
438;folklorist;9;
439;freediver;9;
440;graphic_designer;9;
441;guerre;9;
442;gunsmith;9;
443;investment;9;
444;jeweller;9;
445;mercenary;9;
446;production_designer;9;
447;rikishi;9;
448;strongman;9;
449;suffragist;9;
450;visual_effects;9;
451;voivode;9;
452;widow;9;
453;_fils;8;
454;assassinated;8;
455;chronicler;8;
456;civil_rights;8;
457;esperantist;8;
458;hornist;8;
459;horse_rider;8;
460;hymnwriter;8;
461;mafia;8;
462;mafioso;8;
463;marquis;8;
464;memoirist;8;
465;princesa;8;
466;príncipe;8;
467;published;8;
468;sentenced;8;
469;sergeant;8;
470;suspect;8;
471;water_polo;8;
472;witness;8;
473;_duca;7;
474;aerobatics;7;
475;boxing;7;
476;civil_servant;7;
477;competitor;7;
478;duc;7;
479;employee;7;
480;entertainer;7;
481;flautist;7;
482;flight_attendant;7;
483;generalfeldmarschall;7;
484;hacker;7;
485;harpist;7;
486;horse_trainer;7;
487;interpreter;7;
488;ministry;7;
489;motion_picture;7;
490;mountain_biker;7;
491;officier;7;
492;operatic;7;
493;optician;7;
494;perfumer;7;
495;prophet;7;
496;royaume;7;
497;satirist;7;
498;stunt;7;
499;tennis;7;
500;theater;7;
501;trotskyist;7;
502;typographer;7;
503;_émir;6;
504;_roi;6;
505;abbess;6;
506;accordionist;6;
507;airman;6;
508;ambassador;6;
509;analyst;6;
510;arts;6;
511;aviatrice;6;
512;bass;6;
513;beekeeper;6;
514;christianity;6;
515;cinematographer;6;
516;clockmaker;6;
517;clown;6;
518;combatant;6;
519;commentator;6;
520;commissioner;6;
521;conte;6;
522;courtesan;6;
523;courtier;6;
524;cowboy;6;
525;enfant;6;
526;engenheir;6;
527;épouse;6;
528;granddaughter;6;
529;grandson;6;
530;hanged;6;
531;herzog;6;
532;humorist;6;
533;humourist;6;
534;illuminator;6;
535;justice;6;
536;midwife;6;
537;nobildonna;6;
538;performer;6;
539;pilota;6;
540;prinz;6;
541;prosecutor;6;
542;psychic;6;
543;rock;6;
544;roi;6;
545;salonnière;6;
546;seller;6;
547;shipping_magnate;6;
548;show;6;
549;skydiver;6;
550;special_effects;6;
551;thief;6;
552;treasurer;6;
553;witch;6;
554;advertising;5;
555;announcer;5;
556;antiquarian;5;
557;archiduc;5;
558;artisan;5;
559;biblical;5;
560;blacksmith;5;
561;boccia;5;
562;breeder;5;
563;brigadier;5;
564;broadcast;5;
565;communication;5;
566;cousin;5;
567;couturier;5;
568;créateur;5;
569;deacon;5;
570;draughtsman;5;
571;duchesse;5;
572;elettore;5;
573;go_player;5;
574;gouvernement;5;
575;immigrant;5;
576;infanterie;5;
577;inquisitor;5;
578;islamist;5;
579;married_to;5;
580;media;5;
581;miner;5;
582;miss;5;
583;mufti;5;
584;nobre;5;
585;podcaster;5;
586;politisch;5;
587;prisoner;5;
588;publicist;5;
589;silversmith;5;
590;spouse;5;
591;techniker;5;
592;tribal_chief;5;
593;war_chief;5;
594;_duc;4;
595;_seigneur;4;
596;accountant;4;
597;adeliger;4;
598;aikido;4;
599;american_revolution;4;
600;aristokrat;4;
601;bhikkhu;4;
602;bibliophile;4;
603;bicycle;4;
604;brigand;4;
605;calligrapher;4;
606;carmelite;4;
607;carpenter;4;
608;chaplain;4;
609;chief_of_staff;4;
610;cinéma;4;
611;comedy;4;
612;conspiracy;4;
613;consultant;4;
614;creator;4;
615;dj;4;
616;duquesa;4;
617;ébéniste;4;
618;évêque;4;
619;figlio;4;
620;fille;4;
621;gang;4;
622;grandfather;4;
623;guilty;4;
624;host;4;
625;housewife;4;
626;hunter;4;
627;impressionist;4;
628;imprisoned;4;
629;inspector;4;
630;joiner;4;
631;kirche;4;
632;kommunist;4;
633;marschall;4;
634;musher;4;
635;notary;4;
636;parson;4;
637;pasha;4;
638;photography;4;
639;piloto;4;
640;politics;4;
641;powerlifter;4;
642;press;4;
643;railroad;4;
644;real_estate;4;
645;rebbe;4;
646;règne;4;
647;robbery;4;
648;running;4;
649;seigneur;4;
650;skating;4;
651;slave;4;
652;smuggler;4;
653;stylist;4;
654;tailor;4;
655;urban_planner;4;
656;victime;4;
657;viscount;4;
658;volleyball;4;
659;yachtsman;4;
660;_attivista;3;
661;_baron;3;
662;_fille;3;
663;_reine;3;
664;_sport;3;
665;activiste;3;
666;anarchiste;3;
667;archiduchesse;3;
668;assassiné;3;
669;assembly;3;
670;assessor;3;
671;astrologer;3;
672;aviatore;3;
673;bajo;3;
674;band;3;
675;basque_pelota;3;
676;bertsolari;3;
677;bookbinder;3;
678;brewer;3;
679;carom_billiards_player;3;
680;chauffeur;3;
681;chevalier;3;
682;chieftain;3;
683;child_prodigy;3;
684;commandant;3;
685;comte;3;
686;congress;3;
687;conservationist;3;
688;consul;3;
689;country_music;3;
690;criminel;3;
691;cycling;3;
692;detective;3;
693;distiller;3;
