;x;new
341;géologue;
342;obstetrician;
343;gelehrte;
344;dekan;
345;philosoph;philosopher
346;maestro;
347;schoolmaster;
348;archéologue;
349;rhetoriker;
350;instituteur;
351;recteur;
352;innovate;inventor
353;académie;
354;aeronautico;
355;demographer;
356;pédagogue;
357;gärtner;
358;psichiatra;psychologist
359;agrónom;
360;chemiker;chemist
361;endocrinologist;
362;geograf;geographer
363;museum_director;
364;biólog;biologist
365;linguiste;humanities
366;biologe;biologist
367;pediatrician;physician
368;botánic;
369;veterinarian;
370;professore;
371;innovation;inventor
372;rhetorician;humanities
373;meteorólog;geographer
374;pedagogista;
375;orientaliste;humanities
376;aéronautique;
377;kolonialverwalter;
378;arqueología;
379;licens;
380;cartógraf;geographer
381;mathématicien;mathematician
382;economista;economist
383;_reitor;
384;physicien;physician
385;antropólog;anthropologist
386;gemolog;
387;botánica;
388;veterinari;
389;penologist;
390;hydrologist;
391;otolaryngologist;
392;arqueólog;
393;anthologist;anthropologist
394;geologe;
395;médical;
396;limnolog;
397;cientista;
398;turkologe;humanities
399;zoologe;biologist
400;seaman;
401;segler;
402;volapükologist;
403;histologist;humanities
404;anthropologe;anthropologist
405;altphilologe;humanities
406;hochschullehrer;
407;luftfahrt;
408;éducatrice;
409;philosophy;philosopher
410;psychiater;psychologist
411;podiatrist;
412;musikwissenschaft;humanities
413;astronome;astronomer
414;zahnarzt;physician
415;crystallographer;
416;archivar;
417;fisioterapeuta;
418;philologin;humanities
419;forschungsreisender;
420;tierarzt;physician
421;anthropologue;anthropologist
422;physiker;physicist
423;pédiatre;
424;hispaniste;humanities
425;embryologist;physician
426;latiniste;humanities
427;institutrice;
428;éducation;
429;biomedical;physician
430;sjöman;
431;aventurier;
432;semitologist;geographer
433;conchologist;physician
434;carcinologist;physician
435;handel;
436;floriculturist;
437;medizinisch;physician
438;patent;
439;antropologo;anthropologist
440;gynecologist;physician
441;orthopedist;physician
442;historien;
443;accademico;
444;archeologist;
445;_recteur;
446;caver;
447;hochschule;
448;myriapodologist;
449;optometrist;
450;explored;
451;medico;physician
452;license;
453;aventurière;
454;traveler;
455;historiographer;humanities
456;papyrology;
457;pediatrics;physician
458;philology;humanities
459;chimiste;chemist
